MsgID.STATE,1529058544.8144209,False,False
MsgID.LOCAL_VELOCITY,1529058561.4266710,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1529058561.4284532,10.0035782,10.1116629,-0.0953733
MsgID.LOCAL_VELOCITY,1529058561.4284532,-0.0000107,-0.0000067,0.0000159
MsgID.GLOBAL_POSITION,1529058561.6775870,-122.3973364,37.7925702,0.1060000
MsgID.LOCAL_VELOCITY,1529058561.6775870,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1529058561.6792681,10.0276327,10.0919380,-0.1065792
MsgID.LOCAL_VELOCITY,1529058561.6792681,-0.0000846,-0.0000036,0.0000209
MsgID.STATE,1529058561.9171500,True,True
MsgID.GLOBAL_HOME,1529058561.9173288,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1529058561.9276390,-122.3973359,37.7925714,0.1060000
MsgID.LOCAL_VELOCITY,1529058561.9276390,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1529058561.9297202,10.1571608,10.1348152,-0.1066529
MsgID.LOCAL_VELOCITY,1529058561.9297202,-0.0002239,-0.0000055,0.0000277
MsgID.GLOBAL_POSITION,1529058562.1766059,-122.3973362,37.7925716,0.0940000
MsgID.LOCAL_VELOCITY,1529058562.1766059,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1529058562.1785221,10.1812181,10.1133785,-0.0941496
MsgID.LOCAL_VELOCITY,1529058562.1785221,-0.0000135,0.0000235,0.0000163
MsgID.GLOBAL_POSITION,1529058562.4273911,-122.3973362,37.7925716,0.0700000
MsgID.LOCAL_VELOCITY,1529058562.4273911,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1529058562.4295931,10.1851950,10.1137600,-0.0701143
MsgID.LOCAL_VELOCITY,1529058562.4295931,0.0000068,0.0000326,0.0000093
MsgID.GLOBAL_POSITION,1529058562.6782200,-122.3973350,37.7925719,0.0380000
MsgID.LOCAL_VELOCITY,1529058562.6782200,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1529058562.6784241,10.2163363,10.2192421,-0.0382456
MsgID.LOCAL_VELOCITY,1529058562.6784241,-0.0000080,0.0000157,0.0000121
MsgID.STATE,1529058562.9168000,True,True
MsgID.GLOBAL_HOME,1529058562.9169800,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1529058562.9273651,-122.3973357,37.7925707,0.0030000
MsgID.LOCAL_VELOCITY,1529058562.9273651,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1529058562.9294620,10.0797949,10.1585646,-0.0032366
MsgID.LOCAL_VELOCITY,1529058562.9294620,-0.0000047,0.0000050,0.0000007
MsgID.GLOBAL_POSITION,1529058563.1778090,-122.3973376,37.7925711,-0.0290000
MsgID.LOCAL_VELOCITY,1529058563.1778090,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1529058563.1798201,10.1258774,9.9853287,0.0291536
MsgID.LOCAL_VELOCITY,1529058563.1798201,-0.0003397,0.0003982,-0.0000425
MsgID.GLOBAL_POSITION,1529058563.4283760,-122.3973360,37.7925726,-0.0530000
MsgID.LOCAL_VELOCITY,1529058563.4283760,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1529058563.4304810,10.2947550,10.1245098,0.0539791
MsgID.LOCAL_VELOCITY,1529058563.4304810,-0.0003788,0.0006090,0.0000469
MsgID.GLOBAL_POSITION,1529058563.6768050,-122.3973375,37.7925716,-0.0670000
MsgID.LOCAL_VELOCITY,1529058563.6768050,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1529058563.6791561,10.1825066,9.9918146,0.0677972
MsgID.LOCAL_VELOCITY,1529058563.6791561,-0.0004120,0.0004098,-0.0000358
