MsgID.STATE,1529058544.8144209,False,False
MsgID.STATE,1529058547.9153190,True,True
MsgID.GLOBAL_HOME,1529058547.9155011,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1529058547.9236491,-122.3974491,37.7924799,5.3610000
MsgID.LOCAL_VELOCITY,1529058547.9236491,-0.0300000,0.2800000,1.7100000
MsgID.LOCAL_POSITION,1529058547.9238191,-0.0072982,0.0777841,-5.3609676
MsgID.LOCAL_VELOCITY,1529058547.9238191,-0.0329041,0.2878603,1.7137409
MsgID.GLOBAL_POSITION,1529058548.1729012,-122.3974465,37.7924799,4.9300000
MsgID.LOCAL_VELOCITY,1529058548.1729012,0.4800000,1.0700000,1.2300000
MsgID.LOCAL_POSITION,1529058548.1730850,-0.0005171,0.3086307,-4.9285641
MsgID.LOCAL_VELOCITY,1529058548.1730850,0.4959711,1.0848711,1.2174773
MsgID.GLOBAL_POSITION,1529058548.4243882,-122.3974448,37.7924835,4.8560000
MsgID.LOCAL_VELOCITY,1529058548.4243882,1.8800000,1.3200000,-0.5500000
MsgID.LOCAL_POSITION,1529058548.4246020,0.3980325,0.4593562,-4.8570504
MsgID.LOCAL_VELOCITY,1529058548.4246020,1.8835136,1.3286965,-0.5575872
MsgID.GLOBAL_POSITION,1529058548.6742480,-122.3974421,37.7924879,4.9970000
MsgID.LOCAL_VELOCITY,1529058548.6742480,1.6500000,1.4900000,-0.3900000
MsgID.LOCAL_POSITION,1529058548.6744661,0.8888251,0.6986650,-4.9983630
MsgID.LOCAL_VELOCITY,1529058548.6744661,1.6541438,1.4960541,-0.3960887
MsgID.STATE,1529058548.9159491,True,True
MsgID.GLOBAL_HOME,1529058548.9161711,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1529058548.9242702,-122.3974352,37.7924905,5.0100000
MsgID.LOCAL_VELOCITY,1529058548.9242702,0.9500000,1.7900000,0.1800000
MsgID.LOCAL_POSITION,1529058548.9244380,1.1704074,1.3114406,-5.0106487
MsgID.LOCAL_VELOCITY,1529058548.9244380,0.9460982,1.7939377,0.1914775
MsgID.GLOBAL_POSITION,1529058549.1728640,-122.3974292,37.7924909,4.9680000
MsgID.LOCAL_VELOCITY,1529058549.1728640,0.5900000,1.5100000,0.1200000
MsgID.LOCAL_POSITION,1529058549.1730461,1.2203577,1.8424708,-4.9679785
MsgID.LOCAL_VELOCITY,1529058549.1730461,0.6008222,1.5149093,0.1208566
MsgID.GLOBAL_POSITION,1529058549.4229620,-122.3974255,37.7924920,4.9750000
MsgID.LOCAL_VELOCITY,1529058549.4229620,1.0900000,1.3400000,-0.0100000
MsgID.LOCAL_POSITION,1529058549.4231539,1.3390642,2.1721981,-4.9758024
MsgID.LOCAL_VELOCITY,1529058549.4231539,1.0982444,1.3433695,-0.0123881
MsgID.GLOBAL_POSITION,1529058549.6746459,-122.3974235,37.7924960,4.9950000
MsgID.LOCAL_VELOCITY,1529058549.6746459,1.2100000,1.4100000,0.1200000
MsgID.LOCAL_POSITION,1529058549.6748769,1.7790775,2.3473506,-4.9952583
MsgID.LOCAL_VELOCITY,1529058549.6748769,1.2121925,1.4154936,0.1205882
MsgID.STATE,1529058549.9168231,True,True
MsgID.GLOBAL_HOME,1529058549.9170330,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1529058549.9231091,-122.3974198,37.7924986,4.9890000
MsgID.LOCAL_VELOCITY,1529058549.9231091,1.1200000,1.2600000,0.1300000
MsgID.LOCAL_POSITION,1529058549.9233110,2.0755820,2.6835315,-4.9891248
MsgID.LOCAL_VELOCITY,1529058549.9233110,1.1263946,1.2660861,0.1345932
MsgID.GLOBAL_POSITION,1529058550.1730959,-122.3974154,37.7925014,4.9910000
MsgID.LOCAL_VELOCITY,1529058550.1730959,1.4400000,1.3200000,0.0700000
MsgID.LOCAL_POSITION,1529058550.1733351,2.3867280,3.0720892,-4.9915147
MsgID.LOCAL_VELOCITY,1529058550.1733351,1.4466213,1.3317388,0.0785431
MsgID.GLOBAL_POSITION,1529058550.4229839,-122.3974118,37.7925035,4.9910000
MsgID.LOCAL_VELOCITY,1529058550.4229839,1.3200000,1.5000000,0.1000000
MsgID.LOCAL_POSITION,1529058550.4251671,2.6214421,3.3910911,-4.9915590
MsgID.LOCAL_VELOCITY,1529058550.4251671,1.3215847,1.5004973,0.1073106
MsgID.GLOBAL_POSITION,1529058550.6734879,-122.3974078,37.7925059,4.9830000
MsgID.LOCAL_VELOCITY,1529058550.6734879,1.2800000,1.2700000,0.0600000
MsgID.LOCAL_POSITION,1529058550.6737001,2.8793907,3.7441170,-4.9830141
MsgID.LOCAL_VELOCITY,1529058550.6737001,1.2893534,1.2795917,0.0696524
MsgID.STATE,1529058550.9173429,True,True
MsgID.GLOBAL_HOME,1529058550.9175560,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1529058550.9235170,-122.3974060,37.7925101,4.9770000
MsgID.LOCAL_VELOCITY,1529058550.9235170,1.7500000,0.8400000,0.0000000
