time, Quad.Est.E.Pos, Quad.Est.S.Z
1.059994,0.130854,0.304210
1.064994,0.131406,0.304400
1.069994,0.131743,0.304528
1.074994,0.132325,0.304720
1.079994,0.132746,0.304850
1.084995,0.133352,0.305044
1.089995,0.133705,0.305175
1.094995,0.134283,0.305372
1.099995,0.134625,0.305504
1.104996,0.147738,0.302870
1.109996,0.147937,0.302990
1.114996,0.148368,0.303170
1.119996,0.148688,0.303291
1.124997,0.149167,0.303473
1.129997,0.149486,0.303596
1.134997,0.150000,0.303780
1.139997,0.150343,0.303904
1.144997,0.150825,0.304090
1.149998,0.151150,0.304215
1.154998,0.151601,0.304403
1.159998,0.151864,0.304529
1.164998,0.152276,0.304720
1.169999,0.152532,0.304847
1.174999,0.152962,0.305039
1.179999,0.153226,0.305168
1.184999,0.153620,0.305363
1.190000,0.153758,0.305493
1.195000,0.154160,0.305689
1.200000,0.154416,0.305821
1.205000,0.159111,0.303183
1.210001,0.159554,0.303303
1.215001,0.160007,0.303483
1.220001,0.160310,0.303604
1.225001,0.160772,0.303787
1.230001,0.161104,0.303909
1.235002,0.161513,0.304093
1.240002,0.161770,0.304217
1.245002,0.162235,0.304403
1.250002,0.162550,0.304528
1.255003,0.163068,0.304716
1.260003,0.163446,0.304842
1.265003,0.163965,0.305032
1.270003,0.164231,0.305159
1.275004,0.164745,0.305351
1.280004,0.165036,0.305480
1.285004,0.165516,0.305674
1.290004,0.165783,0.305804
1.295004,0.166252,0.306000
1.300005,0.166521,0.306131
1.305005,0.141886,0.303490
1.310005,0.141894,0.303610
1.315005,0.142065,0.303791
1.320006,0.142202,0.303911
1.325006,0.142321,0.304094
1.330006,0.142427,0.304216
1.335006,0.142493,0.304400
1.340007,0.142548,0.304524
1.345007,0.142573,0.304710
1.350007,0.142598,0.304834
1.355007,0.142629,0.305022
1.360008,0.142693,0.305148
1.365008,0.142732,0.305338
1.370008,0.142782,0.305465
1.375008,0.142771,0.305657
1.380008,0.142776,0.305785
1.385009,0.142757,0.305979
1.390009,0.142934,0.306108
1.395009,0.142945,0.306304
1.400009,0.143047,0.306435
1.405010,0.111865,0.303791
1.410010,0.111716,0.303911
1.415010,0.111632,0.304091
1.420010,0.111651,0.304212
1.425011,0.111560,0.304394
1.430011,0.111397,0.304516
1.435011,0.111290,0.304700
1.440011,0.111205,0.304824
1.445011,0.111093,0.305010
1.450012,0.111010,0.305134
1.455012,0.110884,0.305322
1.460012,0.110807,0.305447
1.465012,0.110683,0.305637
1.470013,0.110494,0.305764
1.475013,0.110307,0.305955
1.480013,0.110102,0.306084
1.485013,0.109913,0.306277
1.490014,0.109851,0.306406
1.495014,0.109663,0.306601
1.500014,0.109575,0.306732
1.505014,0.132246,0.304086
1.510015,0.132264,0.304205
1.515015,0.132283,0.304386
1.520015,0.132370,0.304506
1.525015,0.132365,0.304689
1.530015,0.132310,0.304811
1.535016,0.132286,0.304994
1.540016,0.132293,0.305117
1.545016,0.132335,0.305303
1.550016,0.132369,0.305427
1.555017,0.132402,0.305615
1.560017,0.132335,0.305740
1.565017,0.132300,0.305930
1.570017,0.132338,0.306056
1.575018,0.132302,0.306247
1.580018,0.132201,0.306375
1.585018,0.132154,0.306568
1.590018,0.132086,0.306697
1.595019,0.132055,0.306892
1.600019,0.132148,0.307023
1.605019,0.193325,0.304374
1.610019,0.193657,0.304494
1.615019,0.194176,0.304674
1.620020,0.194523,0.304795
1.625020,0.195066,0.304976
1.630020,0.195440,0.305098
1.635020,0.195987,0.305282
1.640021,0.196329,0.305405
1.645021,0.196811,0.305590
1.650021,0.197128,0.305714
1.655021,0.197618,0.305902
1.660022,0.197882,0.306027
1.665022,0.198302,0.306216
1.670022,0.198563,0.306342
1.675022,0.198958,0.306533
1.680022,0.199278,0.306661
1.685023,0.199648,0.306853
1.690023,0.199830,0.306982
1.695023,0.200149,0.307177
1.700023,0.200351,0.307307
1.705024,0.158975,0.304657
1.710024,0.159176,0.304776
1.715024,0.159465,0.304956
1.720024,0.159678,0.305076
1.725025,0.159989,0.305258
1.730025,0.160234,0.305380
1.735025,0.160565,0.305563
1.740025,0.160786,0.305686
1.745026,0.161103,0.305871
1.750026,0.161292,0.305995
1.755026,0.161579,0.306182
1.760026,0.161767,0.306307
1.765026,0.162066,0.306496
1.770027,0.162290,0.306622
1.775027,0.162606,0.306812
1.780027,0.162817,0.306940
1.785027,0.163127,0.307132
1.790028,0.163414,0.307261
1.795028,0.163727,0.307455
1.800028,0.163862,0.307584
1.805028,0.148148,0.304933
1.810029,0.148277,0.305052
1.815029,0.148634,0.305232
1.820029,0.148827,0.305352
1.825029,0.149124,0.305534
1.830029,0.149291,0.305655
1.835030,0.149546,0.305838
1.840030,0.149716,0.305961
1.845030,0.149969,0.306146
1.850030,0.150126,0.306269
1.855031,0.150386,0.306456
1.860031,0.150607,0.306581
1.865031,0.150939,0.306769
1.870031,0.151120,0.306895
1.875032,0.151424,0.307085
1.880032,0.151507,0.307213
1.885032,0.151783,0.307405
1.890032,0.151854,0.307533
1.895033,0.152167,0.307727
1.900033,0.152307,0.307856
1.905033,0.149753,0.305203
1.910033,0.149600,0.305322
1.915033,0.149698,0.305502
1.920034,0.149774,0.305622
1.925034,0.149890,0.305803
1.930034,0.149947,0.305924
1.935034,0.150036,0.306107
1.940035,0.150096,0.306230
1.945035,0.150182,0.306414
1.950035,0.150257,0.306538
1.955035,0.150331,0.306724
1.960036,0.150342,0.306849
1.965036,0.150432,0.307037
1.970036,0.150462,0.307163
1.975036,0.150538,0.307353
1.980036,0.150411,0.307480
1.985037,0.150434,0.307671
1.990037,0.150674,0.307799
1.995037,0.150736,0.307993
2.000037,0.150547,0.308122
2.005037,0.149284,0.305467
2.010037,0.149363,0.305586
2.015036,0.149244,0.305765
2.020036,0.149125,0.305885
2.025036,0.148978,0.306066
2.030035,0.148877,0.306188
2.035035,0.148705,0.306370
2.040035,0.148585,0.306493
2.045034,0.148379,0.306677
2.050034,0.148245,0.306800
2.055033,0.148027,0.306986
2.060033,0.147839,0.307111
2.065033,0.147612,0.307299
2.070032,0.147558,0.307424
2.075032,0.147371,0.307614
2.080032,0.147309,0.307741
2.085031,0.147165,0.307932
2.090031,0.146966,0.308060
2.095031,0.146820,0.308253
2.100030,0.146801,0.308382
2.105030,0.165386,0.305726
2.110029,0.165603,0.305844
2.115029,0.165904,0.306023
2.120029,0.166184,0.306143
2.125028,0.166487,0.306324
2.130028,0.166689,0.306445
2.135028,0.166938,0.306628
2.140027,0.167094,0.306750
2.145027,0.167413,0.306934
2.150027,0.167631,0.307057
2.155026,0.167967,0.307243
2.160026,0.168193,0.307367
2.165025,0.168532,0.307555
2.170025,0.168871,0.307680
2.175025,0.169275,0.307869
2.180024,0.169381,0.307996
2.185024,0.169719,0.308187
2.190024,0.169806,0.308315
2.195023,0.170102,0.308507
2.200023,0.170470,0.308636
2.205023,0.150275,0.305978
2.210022,0.150376,0.306097
2.215022,0.150647,0.306276
2.220021,0.150853,0.306396
2.225021,0.151105,0.306576
2.230021,0.151218,0.306697
2.235020,0.151540,0.306879
2.240020,0.151769,0.307001
2.245020,0.152063,0.307185
2.250019,0.152284,0.307308
2.255019,0.152648,0.307493
2.260019,0.153019,0.307618
2.265018,0.153493,0.307805
2.270018,0.153797,0.307930
2.275017,0.154263,0.308119
2.280017,0.154450,0.308246
2.285017,0.154897,0.308436
2.290016,0.155133,0.308564
2.295016,0.155587,0.308756
2.300016,0.156027,0.308885
2.305015,0.149538,0.306226
2.310015,0.149987,0.306344
2.315015,0.150280,0.306523
2.320014,0.150563,0.306642
2.325014,0.150801,0.306823
2.330014,0.150951,0.306943
2.335013,0.151191,0.307125
2.340013,0.151366,0.307247
2.345012,0.151590,0.307430
2.350012,0.151692,0.307553
2.355012,0.151847,0.307739
2.360011,0.151979,0.307863
2.365011,0.152160,0.308050
2.370011,0.152190,0.308175
2.375010,0.152329,0.308363
2.380010,0.152541,0.308490
2.385010,0.152718,0.308680
2.390009,0.153368,0.308807
2.395009,0.153664,0.309000
2.400008,0.153959,0.309128
2.405008,0.171179,0.306467
2.410008,0.171402,0.306586
2.415007,0.171880,0.306764
2.420007,0.172269,0.306883
2.425007,0.172760,0.307063
2.430006,0.172977,0.307184
2.435006,0.173455,0.307366
2.440006,0.173767,0.307487
2.445005,0.174260,0.307671
2.450005,0.174542,0.307793
2.455004,0.175002,0.307978
2.460004,0.175357,0.308102
2.465004,0.175841,0.308289
2.470003,0.176235,0.308414
2.475003,0.176804,0.308602
2.480003,0.177217,0.308728
2.485002,0.177798,0.308918
2.490002,0.178053,0.309046
2.495002,0.178626,0.309238
2.500001,0.179045,0.309366
2.505001,0.205451,0.306703
2.510000,0.205903,0.306822
2.515000,0.206384,0.307000
2.520000,0.206641,0.307119
2.524999,0.207107,0.307299
2.529999,0.207494,0.307419
2.534999,0.207956,0.307601
2.539998,0.208260,0.307722
2.544998,0.208760,0.307905
2.549998,0.209091,0.308028
2.554997,0.209615,0.308213
2.559997,0.209968,0.308336
2.564996,0.210502,0.308523
2.569996,0.210769,0.308648
2.574996,0.211254,0.308836
2.579995,0.211771,0.308962
2.584995,0.212287,0.309152
2.589995,0.212614,0.309279
2.594994,0.213140,0.309470
2.599994,0.213464,0.309599
2.604994,0.213123,0.306934
2.609993,0.213479,0.307052
2.614993,0.214074,0.307230
2.619992,0.214456,0.307350
2.624992,0.214981,0.307529
2.629992,0.215262,0.307649
2.634991,0.215784,0.307831
2.639991,0.216114,0.307952
2.644991,0.216631,0.308135
2.649990,0.216906,0.308257
2.654990,0.217341,0.308442
2.659990,0.217767,0.308565
2.664989,0.218250,0.308752
2.669989,0.218440,0.308876
2.674989,0.218880,0.309064
2.679988,0.219150,0.309190
2.684988,0.219555,0.309380
2.689987,0.219790,0.309507
2.694987,0.220191,0.309698
2.699987,0.220225,0.309826
2.704986,0.203596,0.307160
2.709986,0.203905,0.307278
2.714986,0.204280,0.307456
2.719985,0.204573,0.307575
2.724985,0.204965,0.307754
2.729985,0.205174,0.307875
2.734984,0.205544,0.308056
2.739984,0.205789,0.308177
2.744983,0.206173,0.308359
2.749983,0.206429,0.308482
2.754983,0.206819,0.308666
2.759982,0.207038,0.308789
2.764982,0.207380,0.308975
2.769982,0.207505,0.309100
2.774981,0.207825,0.309288
2.779981,0.208102,0.309413
2.784981,0.208397,0.309603
